OBJECTID,UNIT_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,LMS_ID,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY
227,5345,Michillinda Park,Michillinda Park,Open Access,2.176,2.17632923,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Pocket,Park < 5 Acres,Yes,Yes,Yes,Good,Good,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,Local Park,3000109,34.13104477,-118.07032463,3800 Michillinda Dr.,Pasadena,91107,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm","General: (626) 821-4619; Reservations: (888) 239-6700",Yes
239,5472,Big Rock Beach,Big Rock Beach,Open Access,8.314,1.63573878,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.03693792,-118.61441439,Big Rock Beach,Malibu,90265,,,No
241,5474,Carbon Beach,Carbon Beach,Open Access,15.374,5.12137443,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,34.03850199,-118.65941414,22878 Pacific Coast Hwy,,,,,No
242,5475,Amarillo Beach,Amarillo Beach,Open Access,5.827,1.69020482,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,34.0309957,-118.70124208,Amarillo Beach,Malibu,90265,,,No
243,5476,Malibu Beach,Malibu Beach,Open Access,12.347,4.09129367,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.03209112,-118.69061027,Malibu,,,,,No
244,5477,Dan Blocker Beach,Dan Blocker Beach,Open Access,7.471,5.89493083,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,59074,34.03115059,-118.7488921,26000 Pacific Coast Hwy,Malibu,90265,,,No
246,5479,Escondido Beach,Escondido Beach,Open Access,13.666,6.52953071,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.02274819,-118.77838951,Escondido Beach,,,,,No
272,5732,Nicholas Canyon County Beach,Nicholas Canyon County Beach,Open Access,43.707,42.05105193,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,59087,34.04397401,-118.91756746,33850 CA-1,Malibu,90265,,,No
292,5854,Zuma County Beach,Zuma County Beach,Open Access,97.16,91.90443251,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,59080,34.01961787,-118.82776993,Zuma Beach,Malibu,90265,,,No
299,5866,Los Verdes Golf Course,Los Verdes GC,Open Access,162.793,162.81690299,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Golf,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000096,33.75426811,-118.40064942,7000 W. Los Verdes Dr.,Rancho Palos Verdes,90275,<Null>,General: (310) 377-7370,Yes
309,5879,South Coast Botanic Garden,South Coast Botanic Garden,Open Access,81.749,81.76022805,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Botanic,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Regional Open Space,3000157,33.78297993,-118.34506987,26300 Crenshaw Blvd.,Palos Verdes Peninsula,90274,<Null>,General: (310) 544-6815,Yes
340,5917,South Coast Park/Peter Weber Equestrian Center,South Coast Park/Peter Weber Equestrian Ctr.,No Public Access,141.256,141.27448473,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Rolling Hills Estates, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.78826694,-118.34961282,26401 Crenshaw Blvd,Palos Verdes Peninsula,90274,,,No
358,5941,Deane Dana Friendship Natural Area,Deane Dana Friendship Park,Open Access,113.95567166,113.95567166,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Natural,Regional Openspace,Yes,Yes,Yes,Poor,Fair,Good,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,2,Local Park,3000060,33.73208113,-118.32183911,1805 W. 9th St.,San Pedro,90732,"March 1st to October 31st<br>
Operating Hours<br>
Tuesday - Sunday<br>
8:00am to 7:30pm<br>
Closed Monday<br>
<p>
Staff and Programming Hours<br>
Tuesday - Sunday<br>
10:30am to 7:30pm<br>
Closed Monday<br>
<p>
Restroom Hours<br>
Tueaday - Sunday<br>
8:30am to 7:00pm<br>
Closed Monday<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Tuesday - Sunday<br>
8:00am to 5:00pm<br>
Closed Monday<br>
<p>
Staff and Programming Hours<br>
Tuesday - Sunday<br>
9:00am to 5:00pm<br>
Closed Monday<br>
<p>
Restroom Hours<br>
Tuesday - Sunday<br>
8:30am to 4:30pm<br>
Closed Monday",General: (310) 519-6115,Yes
360,5945,White Point County Beach,White Point County Beach,Open Access,32.004,28.0964493,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.71579488,-118.31720939,1799 W Paseo Del Mar,San Pedro,90731,,,No
361,5946,Royal Palms County Beach,Royal Palms County Beach,Open Access,20.812,17.33572184,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.71979643,-118.32697861,1799 W Paseo Del Mar,San Pedro,90732,,,No
390,5983,Torrance County Beach,Torrance County Beach,Open Access,24.584,15.2601109,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,59081,33.81217057,-118.3913239,Redondo Beach Blvd,Redondo Beach,90277,,,No
396,5990,Redondo County Beach,Redondo County Beach,Open Access,33.366,20.63921232,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.82213914,-118.39042577,1922 Artesia Blvd,Redondo Beach,90277,,,No
441,6057,Redondo County Beach,Redondo County Beach,Open Access,20.939,13.05423337,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.83422497,-118.39039212,1922 Artesia Blvd,Redondo Beach,90277,,,No
486,6115,Manhattan County Beach,Manhattan County Beach,Open Access,95.863,68.94033688,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.89120327,-118.41585349,1320 Highland Ave,Manhattan Beach,90266,,,No
499,6135,El Segundo Beach,El Segundo Beach,Open Access,27.653,13.79023649,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,33.91291532,-118.42713284,Vista Del Mar,,,,,No
527,6183,Lennox Park,Lennox Park,Open Access,5.636,5.63595283,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Poor,Fair,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,2,1,2,8,Local Park,3000089,33.93737422,-118.35831746,10828 S. Condon Ave.,Inglewood,90304,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Senior Nutrition Hours<br> Monday – Friday<br> 8:00 am to 2:00 pm<br> Drop-in: 2:00 pm to 4:00 pm<br><p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Mon, Wed, Fri<br>
11:00 AM to 7:00 PM<br>","General: (310) 419-6712; Reservations: (800) 404-5888; Aquatics: (310) 419-2103",Yes
544,6205,Helen Keller Park,Helen Keller Park,Open Access,6.985,6.98547434,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Good,None,Not Reported,0,0,1,1,0,1,1,0,1,2,1,0,0,0,1,0,2,9,1,0,Local Park,3000075,33.91785977,-118.29269238,12521 S. Vermont Ave.,Los Angeles,90044,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Mon, Wed, Fri<br>
11:00 AM to 7:00 PM<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 2022<br>
Extended Seasonal Pool Hours<br>
Thurs, Fri, Sat<br>
6:00 PM to 7:30 PM<br>","General: (323) 241-6702; Reservations: (800) 404-5888; Aquatics: (323) 241-6703",Yes
545,6206,Athens Park,Athens Park,Open Access,18.716,18.71731318,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Poor,Not Reported,0,2,1,2,0,1,1,0,4,4,1,0,0,1,1,0,3,2,10,1,Local Park,3000014,33.91824642,-118.27955529,12603 S. Broadway,Los Angeles,90061,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Tues, Thurs, Sat<br>
11:00 AM to 7:00 PM<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 2022<br>
Extended Seasonal Pool Hours<br>
Thurs, Fri, Sat<br>
6:00 PM to 7:30 PM<br>
","General: (323) 241-6700; Reservations: (800) 404-5888; Aquatics: (323) 242-5120",Yes
546,6207,Chester L Washington Golf Course,Chester L Washington GC,Open Access,125.91,125.913462,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Golf,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000174,33.92009223,-118.31291611,1818 Charlie Sifford Dr.,Los Angeles,90047,<Null>,General: (323) 756-6975,Yes
558,6224,Col. Leon H. Washington Park,Colonel Leon H. Washington Park,Open Access,12.618,12.61853798,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Poor,Not Reported,0,2,1,0,0,0,1,0,3,1,1,0,0,1,1,0,5,4,4,7,Local Park,3000175,33.95662206,-118.24381275,8908 S. Maie Ave.,Los Angeles,90002,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>","General: (323) 586-7205; Reservations: (800) 404-5888; Aquatics: (323) 586-7204",Yes
559,6225,Ted Watkins Memorial Park,Ted Watkins Memorial Park,Open Access,27.67,27.67165777,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community Regional,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Fair,Fair,0,4,2,4,1,1,1,2,1,2,1,0,0,1,1,0,8,5,8,6,Local Park,3000176,33.94451655,-118.25154423,1335 E. 103rd St.,Los Angeles,90002,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Tues, Thurs, Sat<br>
11:00 AM to 7:00 PM<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 2022<br>
Extended Seasonal Pool Hours<br>
Thurs, Fri, Sat<br>
6:00 PM to 7:30 PM<br>","General: (323) 357-3032; Reservations: (800) 404-5888; Aquatics: (323) 357-3179",Yes
563,6231,Mona Park,Mona Park,Open Access,8.064,8.06480898,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Poor,Not Reported,0,0,3,2,0,1,0,0,1,2,1,0,0,1,1,0,1,3,4,3,Local Park,3000111,33.92210557,-118.23029852,2291 E. 121st St.,Compton,90222,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Tues, Thurs, Sat<br>
11:00 AM to 7:00 PM<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 2022<br>
Extended Seasonal Pool Hours<br>
Thurs, Fri, Sat<br>
6:00 PM to 7:30 PM<br>","General: (310) 603-3729; Reservations: (800) 404-5888; Aquatics: (310) 603-3728",Yes
564,6232,George Washington Carver Park,George Washington Carver Park,Open Access,7.07777921,7.07777921,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Poor,Fair,0,0,2,4,0,0,1,0,1,1,1,0,0,0,1,0,2,1,3,7,Local Park,3000029,33.92565061,-118.25048346,1400 E. 118th St.,Los Angeles,90059,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Mon, Wed, Fri<br>
11:00 AM to 7:00 PM<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 2022<br>
Extended Seasonal Pool Hours<br>
Thurs, Fri, Sat<br>
6:00 PM to 7:30 PM<br>","General: (323) 357-3030; Reservations: (800) 404-5888; Aquatics: (323) 357-3031",Yes
